Year,Title,Credit(s),credits,introducer,presenter,narrator,archive,co-presenter,narratorandpresenter,interviewee,sound-recordist,director.,writer,guest,producer,year,decade,title
1952,Coelacanth,Producer,producer,0,0,0,0,0,0,0,0,0,0,0,1,1952,1950s,coelacanth
1952,"Animal, Vegetable, Mineral?",Producer,producer,0,0,0,0,0,0,0,0,0,0,0,1,1952,1950s,"animal, vegetable, mineral?"
1953,Song Hunter,Producer,producer,0,0,0,0,0,0,0,0,0,0,0,1,1953,1950s,song hunter
1953,The Pattern of Animals,Producer,producer,0,0,0,0,0,0,0,0,0,0,0,1,1953,1950s,the pattern of animals
1954,It's A Small World,Producer,producer,0,0,0,0,0,0,0,0,0,0,0,1,1954,1950s,it's a small world
1954,Zoo Quest,"Writer, presenter, sound-recordist and producer","writer, presenter, sound-recordist and producer",0,1,0,0,0,0,0,1,0,1,0,1,1954,1950s,zoo quest
1955,Zoo Quest to Guiana,"Writer, presenter, sound-recordist and producer","writer, presenter, sound-recordist and producer",0,1,0,0,0,0,0,1,0,1,0,1,1955,1950s,zoo quest to guiana
1955,Zoo Quest to West Africa,"Writer, presenter, sound-recordist and producer","writer, presenter, sound-recordist and producer",0,1,0,0,0,0,0,1,0,1,0,1,1955,1950s,zoo quest to west africa
1956,Zoo Quest for a Dragon,"Writer, presenter, sound-recordist and producer","writer, presenter, sound-recordist and producer",0,1,0,0,0,0,0,1,0,1,0,1,1956,1950s,zoo quest for a dragon
1957,Quest for the Paradise Birds,"Writer, presenter, sound-recordist and producer","writer, presenter, sound-recordist and producer",0,1,0,0,0,0,0,1,0,1,0,1,1957,1950s,quest for the paradise birds
1959,Zoo Quest in Paraguay,"Writer, presenter, sound-recordist and producer","writer, presenter, sound-recordist and producer",0,1,0,0,0,0,0,1,0,1,0,1,1959,1950s,zoo quest in paraguay
1960,The People of Paradise,"Writer, presenter, sound-recordist and producer","writer, presenter, sound-recordist and producer",0,1,0,0,0,0,0,1,0,1,0,1,1960,1960s,the people of paradise
1960,Elsa the Tamworth Lioness,Producer and presenter,producer and presenter,0,1,0,0,0,0,0,0,0,0,0,1,1960,1960s,elsa the tamworth lioness
1960,Travellers' Tales,Producer and narrator,producer and narrator,0,0,1,0,0,0,0,0,0,0,0,1,1960,1960s,travellers' tales
1961,Zoo Quest to Madagascar,"Writer, presenter, sound-recordist and producer","writer, presenter, sound-recordist and producer",0,1,0,0,0,0,0,1,0,1,0,1,1961,1960s,zoo quest to madagascar
1961,Japan,Producer,producer,0,0,0,0,0,0,0,0,0,0,0,1,1961,1960s,japan
1962,Destruction of the Indian,Producer,producer,0,0,0,0,0,0,0,0,0,0,0,1,1962,1960s,destruction of the indian
1963,Attenborough and Animals,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,1963,1960s,attenborough and animals
1963,Quest Under Capricorn,"Writer, presenter, sound-recordist and producer","writer, presenter, sound-recordist and producer",0,1,0,0,0,0,0,1,0,1,0,1,1963,1960s,quest under capricorn
1965,Zambezi,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1965,1960s,zambezi
1967,Life - East Africa,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1967,1960s,life - east africa
1967,The World About Us,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,1967,1960s,the world about us
1969,The Miracle of Bali,Narrator and producer,narrator and producer,0,0,1,0,0,0,0,0,0,0,0,1,1969,1960s,the miracle of bali
1971,A Blank on the Map,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1971,1970s,a blank on the map
1973,Eastwards with Attenborough,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1973,1970s,eastwards with attenborough
1973,The Life Game,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,1973,1970s,the life game
1973,Natural Break,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,1973,1970s,natural break
1973,Flying Prince of Wildlife,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,1973,1970s,flying prince of wildlife
1973,Royal Institution Christmas Lectures,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1973,1970s,royal institution christmas lectures
1973,Omnibus,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1973,1970s,omnibus
1973 - 1975,The Explorers,Introducer and narrator,introducer and narrator,1,0,1,0,0,0,0,0,0,0,0,0,1973,1970s,the explorers
1975,Fabulous Animals,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,1975,1970s,fabulous animals
1975,The Tribal Eye,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1975,1970s,the tribal eye
1976,The Discoverers,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,1976,1970s,the discoverers
1977,Wildlife on One,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,1977,1970s,wildlife on one
1979,Life on Earth,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1979,1970s,life on earth
1980,The Spirit of Asia,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,1980,1980s,the spirit of asia
1980,Benjamin Britten – A Time There Was,Archive director.,archive director.,0,0,0,1,0,0,0,0,1,0,0,0,1980,1980s,benjamin britten – a time there was
1981,The Ark in South Kensington,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,1981,1980s,the ark in south kensington
1984,The Living Planet,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1984,1980s,the living planet
1985,The Million Pound Bird Book,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1985,1980s,the million pound bird book
1986,World Safari,Co-presenter,co-presenter,0,1,0,0,1,0,0,0,0,0,0,0,1986,1980s,world safari
1987,The First Eden,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1987,1980s,the first eden
1989,"Lost Worlds, Vanished Lives",Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1989,1980s,"lost worlds, vanished lives"
1990,The Trials of Life,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1990,1990s,the trials of life
1993,QED Gallop to Freedom,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,1993,1990s,qed gallop to freedom
1993,Life in the Freezer,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1993,1990s,life in the freezer
1994,Heart of a Nomad,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,1994,1990s,heart of a nomad
1995,The Private Life of Plants,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1995,1990s,the private life of plants
